City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Cedar City,US,2022-07-01 15:10:23,37.6775,-113.0619,76.39,31,0,0.0
217,San Carlos,VE,2022-07-01 15:15:16,9.6612,-68.5827,81.7,75,75,3.74
218,Quattro Castella,IT,2022-07-01 15:15:16,44.635,10.4743,94.26,31,0,12.44
219,Ridgecrest,US,2022-07-01 15:15:17,35.6225,-117.6709,83.43,6,0,0.0
220,Muswellbrook,AU,2022-07-01 15:15:17,-32.2667,150.9,50.32,98,100,2.01
221,Santa Marta,CO,2022-07-01 15:15:17,11.2408,-74.199,81.37,76,62,1.34
222,Altay,CN,2022-07-01 15:15:18,47.8667,88.1167,61.75,85,50,5.37
223,Tuxpan,MX,2022-07-01 15:15:18,19.55,-103.4,74.66,70,86,2.19
224,Krasnyy Chikoy,RU,2022-07-01 15:15:18,50.3643,108.7512,62.28,93,84,4.16
225,Tamandare,BR,2022-07-01 15:15:19,-8.7597,-35.1047,78.96,86,60,10.2
226,Kuruman,ZA,2022-07-01 15:15:19,-27.4524,23.4325,61.0,47,96,12.77
227,Komsomolskiy,UZ,2022-07-01 15:16:19,40.4272,71.7189,90.32,20,48,2.3
228,Luderitz,NA,2022-07-01 15:16:20,-26.6481,15.1594,69.66,47,0,15.97
229,Bakchar,RU,2022-07-01 15:16:20,57.0186,82.0711,52.95,91,100,9.31
230,Kabugao,PH,2022-07-01 15:16:20,18.0217,121.1842,75.65,97,100,1.1
231,Riyadh,SA,2022-07-01 15:16:21,24.6877,46.7219,109.54,7,27,12.73
232,Mount Isa,AU,2022-07-01 15:16:21,-20.7333,139.5,53.37,100,100,12.66
233,Shahreza,IR,2022-07-01 15:16:21,32.0339,51.8794,93.61,8,2,19.91
234,Brae,GB,2022-07-01 15:16:21,60.3964,-1.353,55.27,98,100,5.95
235,Ribeira Grande,PT,2022-07-01 15:16:22,38.5167,-28.7,73.8,73,40,19.57
236,Flinders,AU,2022-07-01 15:16:22,-34.5833,150.8552,55.18,92,100,4.0
237,Zhangye,CN,2022-07-01 15:16:22,38.9342,100.4517,79.34,21,0,6.15
238,El Vigia,VE,2022-07-01 15:16:23,8.6219,-71.6506,86.68,57,98,4.38
239,Puerto El Triunfo,SV,2022-07-01 15:16:23,13.2833,-88.55,84.0,65,100,2.24
