City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Jiwani,PK,84.7,overcast clouds,25.05,61.7417,Hamza hotel jiwani
642,Olinda,BR,80.33,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
645,Palmas,BR,82.27,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
647,Flagstaff,US,84.6,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
649,Matara,LK,78.24,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
650,Umm Lajj,SA,84.09,clear sky,25.0213,37.2685,Moon light Furnished Units
652,Taft,IR,80.55,dust,31.7471,54.2088,عمارت ساعتی تفت
654,Shelburne,CA,75.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
656,Yinchuan,CN,75.4,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
657,Dayong,CN,77.32,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
659,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
663,Sao Jose Da Coroa Grande,BR,75.31,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
665,Voh,NC,77.27,broken clouds,-20.9667,164.7,Le gîte du Koniambo
668,Yining,CN,76.41,overcast clouds,29.0361,114.5636,Xiushui Hotel
671,Dong Hoi,VN,83.34,light rain,17.4833,106.6,Nam Long Hotel
676,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
678,Salinas,US,84.99,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
679,Bom Jesus,BR,84.25,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
681,Luoyang,CN,79.52,overcast clouds,34.6836,112.4536,易家国际青年旅舍
682,Kandi,BJ,78.24,overcast clouds,11.1342,2.9386,Hébergement de la Poste
